HTML Content,Label
<html>    <body>        <section>jam</section>    </body></html>,HTML Tag
<html>    <body>        <p>This is the body of the page.</p>        <footer>jam</footer>    </body></html>,HTML Tag
<html>    <body>        <p>This is the body of the page.</p>        <footer>jam</footer>    </body></html>,HTML Tag
<html>    <body>        <p>jam</p>    </body></html>,HTML Tag
<html>    <body>        <p>This is the body of the page.</p>        <aside>jam</aside>    </body></html>,HTML Tag
<html>    <body>        <ul>            <li>jam</li>        </ul>    </body></html>,HTML Tag
<html>    <body>        <ol>            <li>jam</li>        </ol>    </body></html>,HTML Tag
<html>    <body>        <pre>jam</pre>    </body></html>,HTML Tag
<html>    <body>        <h2>jam</h2>    </body></html>,HTML Tag
<html>    <body>        <p>This is the body of the page.</p>        <aside>jam</aside>    </body></html>,HTML Tag
<html>    <body>        <nav>jam</nav>        <p>This is the body of the page.</p>    </body></html>,HTML Tag
<html>    <body>        <table>            <tr><td>jam</td></tr>        </table>    </body></html>,HTML Tag
<html>    <body>        <table>            <tr><td>jam</td></tr>        </table>    </body></html>,HTML Tag
<html>    <body>        <table>            <tr><td>jam</td></tr>        </table>    </body></html>,HTML Tag
<html>    <body>        <ul>            <li>jam</li>        </ul>    </body></html>,HTML Tag
"<html>    <body>        <a href=""#"">jam</a>    </body></html>",HTML Tag
<html>    <body>        <div>jam</div>    </body></html>,HTML Tag
<html>    <body>        <textarea>jam</textarea>    </body></html>,HTML Tag
<html>    <body>        <span>jam</span>    </body></html>,HTML Tag
<html>    <body>        <code>jam</code>    </body></html>,HTML Tag
<html>    <header>jam</header>    <body>        <p>This is the body of the page.</p>    </body></html>,HTML Tag
<html>    <body>        <h1>jam</h1>    </body></html>,HTML Tag
<html>    <header>jam</header>    <body>        <p>This is the body of the page.</p>    </body></html>,HTML Tag
"<html>    <body>        <img src=""image.jpg"" alt=""jam"">    </body></html>",HTML Tag
<html>    <body>        <table>            <tr><th>jam</th></tr>        </table>    </body></html>,HTML Tag
"<html>    <body>        <label for=""input"">jam</label>        <input type=""text"" id=""input"">    </body></html>",HTML Tag
<html>    <body>        <footer>jam</footer>    </body></html>,HTML Tag
"<html>    <body>        <form action=""/submit"" method=""post"">            <input type=""text"" value=""jam"">            <button type=""submit"">Submit</button>        </form>    </body></html>",HTML Tag
<html>    <body>        <dl>            <dt>Term</dt>            <dd>jam</dd>        </dl>    </body></html>,HTML Tag
<html>    <body>        <button>jam</button>    </body></html>,HTML Tag
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <textarea name=""message"" rows=""10"" cols=""30"" xxxjam=""xxx"">        Enter text here...    </textarea></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <summary xxxjam=""xxx"">Click to expand</summary>    <p>Details go here...</p></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <meter value=""2"" min=""0"" max=""10"" xxxjam=""xxx""></meter></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <a xxxjam=""xxx"" href=""#"">Link</a></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <template xxxjam=""xxx"">        <p>Template Content</p>    </template></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <input xxxjam=""xxx"" type=""text""></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <form action=""/action_page.php"" method=""get"" xxxjam=""xxx"">        <label for=""fname"">First name:</label><br>        <input type=""text"" id=""fname"" name=""fname"" value=""John""><br>        <label for=""lname"">Last name:</label><br>        <input type=""text"" id=""lname"" name=""lname"" value=""Doe""><br><br>        <input type=""submit"" value=""Submit"">    </form></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <datalist id=""browsers"" xxxjam=""xxx"">        <option value=""Chrome"">        <option value=""Firefox"">        <option value=""Internet Explorer"">        <option value=""Opera"">        <option value=""Safari"">    </datalist></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <audio controls xxxjam=""xxx"">        <source src=""audio.mp3"" type=""audio/mpeg"">        Your browser does not support the audio element.    </audio></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <progress value=""70"" max=""100"" xxxjam=""xxx""></progress></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <details xxxjam=""xxx"">        <summary>Click to view details</summary>        <p>Details go here...</p>    </details></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <object data=""image.svg"" type=""image/svg+xml"" xxxjam=""xxx""></object></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <form action=""/action_page.php"" xxxjam=""xxx"">        First name:<br>        <input type=""text"" name=""firstname""><br>        Last name:<br>        <input type=""text"" name=""lastname""><br><br>        <input type=""submit"" value=""Submit"">    </form></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <output name=""result"" xxxjam=""xxx"">42</output></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <fieldset xxxjam=""xxx"">        <legend>Personalia:</legend>        <label for=""fname"">First name:</label><br>        <input type=""text"" id=""fname"" name=""fname""><br>        <label for=""lname"">Last name:</label><br>        <input type=""text"" id=""lname"" name=""lname""><br><br>        <input type=""submit"" value=""Submit"">    </fieldset></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <img xxxjam=""xxx"" src=""image.jpg"" alt=""Image""></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <button xxxjam=""xxx"">Button</button></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <img src=""image.jpg"" xxxjam=""xxx"" alt=""Sample Image""></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <select xxxjam=""xxx"">        <option value=""1"">Option 1</option>        <option value=""2"">Option 2</option>        <option value=""3"">Option 3</option>    </select></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <button type=""button"" xxxjam=""xxx"">Click Me!</button></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <ruby xxxjam=""xxx"">        漢 <rt>han</rt>        字 <rt>ji</rt>    </ruby></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <textarea xxxjam=""xxx"" rows=""4"" cols=""50"">        Enter text here...    </textarea></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <div contenteditable=""true"" xxxjam=""xxx"">        This text can be edited by the user.    </div></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <button type=""button"" xxxjam=""xxx"">Click Me!</button></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <iframe src=""https://www.example.com"" xxxjam=""xxx""></iframe></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <select name=""cars"" id=""cars"" xxxjam=""xxx"">        <option value=""volvo"">Volvo</option>        <option value=""saab"">Saab</option>        <option value=""mercedes"">Mercedes</option>        <option value=""audi"">Audi</option>    </select></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <video width=""320"" height=""240"" controls xxxjam=""xxx"">        <source src=""movie.mp4"" type=""video/mp4"">        Your browser does not support the video tag.    </video></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <a href=""https://www.example.com"" xxxjam=""xxx"">Visit Example</a></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <time datetime=""2024-04-20T10:30"" xxxjam=""xxx"">10:30 AM</time></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML</title></head><body>    <input type=""checkbox"" xxxjam=""xxx"" id=""check1"">    <label for=""check1"">Checkbox 1</label><br>    <input type=""checkbox"" xxxjam=""xxx"" id=""check2"">    <label for=""check2"">Checkbox 2</label><br>    <input type=""checkbox"" xxxjam=""xxx"" id=""check3"">    <label for=""check3"">Checkbox 3</label><br></body></html>",Attribute Name
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 15</title></head><body>    <input type=""text"" data-value=""jam15""></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 29</title></head><body>    <textarea mnopqr=""jam39"">Sample Text Area</textarea></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 18</title></head><body>    <table>        <tr>            <td data-value=""jam20"">Row 1, Cell 1</td>            <td data-value=""jam21"">Row 1, Cell 2</td>        </tr>        <tr>            <td data-value=""jam22"">Row 2, Cell 1</td>            <td data-value=""jam23"">Row 2, Cell 2</td>        </tr>    </table></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 1</title></head><body>    <div id=""container"" data-name=""jam1"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 30</title></head><body>    <label for=""fname"" vwxyzt=""Alls45jam"">First name:</label>    <input type=""text"" id=""fname"" name=""fname"" value=""John""><br>    <label for=""lname"" vwxyzt=""jam"">Last name:</label>    <input type=""text"" id=""lname"" name=""lname"" value=""Doe""><br><br>    <input type=""submit"" value=""Submit""></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 3</title></head><body>    <div id=""container"" daue=""890jam"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 24</title></head><body>    <img src=""image.jpg"" alt=""Sample Image"" wxyz=""jam29""></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 22</title></head><body>    <a href=""#"" ghijkl=""jam27"">Sample Link</a></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 12</title></head><body>    <a href=""#"" data-key=""jam12"">Sample Link</a></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 19</title></head><body>    <div class=""container"" data-test=""jam24"">        <h1>Sample Header</h1>        <p>This is a sample paragraph.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 17</title></head><body>    <select data-code=""jam19"">        <option value=""volvo"">Volvo</option>        <option value=""saab"">Saab</option>        <option value=""mercedes"">Mercedes</option>        <option value=""audi"">Audi</option>    </select></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 26</title></head><body>    <ul>        <li tuvwxy=""jam31"">Item 1</li>        <li tuvwxy=""jam32"">Item 2</li>        <li tuvwxy=""jam33"">Item 3</li>    </ul></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 9</title></head><body>    <div id=""container"" data-number=""jam9"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 27</title></head><body>    <select zyxwvu=""jam34"">        <option value=""volvo"">Volvo</option>        <option value=""saab"">Saab</option>        <option value=""mercedes"">Mercedes</option>        <option value=""audi"">Audi</option>    </select></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 23</title></head><body>    <button qrstuv=""jam28"">Click me</button></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 6</title></head><body>    <div id=""container"" data-code=""jam6"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 2</title></head><body>    <div id=""container"" data-id=""jam2"">        <h1>Hello, world!</h1>        <p>This is a sample HTML response with an attribute value injected.</p>    </div></body></html>",Attribute Value
"<!DOCTYPE html><html lang=""en""><head>    <meta charset=""UTF-8"">    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">    <title>Sample HTML 11</title></head><body>    <span class=""test"" data-value=""jam11"">Sample Text</span></body></html>",Attribute Value
